url,perc,count
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",4,5
"https://berthub.eu/articles/posts/hoe-werken-de-nieuwe-corona-vaccins/",40,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",54,5
"https://berthub.eu/articles/posts/hoe-werken-de-nieuwe-corona-vaccins/",60,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",12,7
"https://berthub.eu/articles/posts/how-tech-loses-out/",56,12
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",0,5
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",16,2
"https://berthub.eu/articles/posts/biontech-pfizer-mrna-a%C5%9F%C4%B1lar%C4%B1n%C4%B1n-kaynak-kodu/",39,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",31,7
"https://berthub.eu/articles/posts/how-tech-loses-out/",40,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",14,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",70,21
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",59,6
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",11,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",35,5
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",85,11
"https://berthub.eu/articles/posts/biontech-pfizer-mrna-a%C5%9F%C4%B1lar%C4%B1n%C4%B1n-kaynak-kodu/",80,14
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",28,20
"https://berthub.eu/articles/posts/amazing-dna/",0,1
"https://berthub.eu/articles/posts/italian-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",1,1
"https://berthub.eu/articles/posts/how-tech-loses-out/",30,6
"https://berthub.eu/articles/posts/corona-delta-update/",28,7
"https://berthub.eu/articles/posts/corona-delta-update/",30,8
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",58,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",11,2
"https://berthub.eu/articles/posts/dutch-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",22,2
"https://berthub.eu/articles/posts/europes-software-problem/",48,2
"https://berthub.eu/articles/posts/amazing-dna/",22,9
"https://berthub.eu/articles/posts/how-tech-loses-out/",77,17
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",14,4
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",87,1
"https://berthub.eu/articles/posts/genetic-code-of-covid-19-vaccines/",43,2
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",23,7
"https://berthub.eu/articles/posts/how-tech-loses-out/",63,23
"https://berthub.eu/articles/posts/corona-delta-update/",27,25
"https://berthub.eu/articles/posts/hoe-werken-de-nieuwe-corona-vaccins/",15,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",7,1
"https://berthub.eu/articles/posts/from-gnuplot-to-matplotlib-pandas/",8,1
"https://berthub.eu/articles/posts/how-tech-loses-out/",54,8
"https://berthub.eu/articles/posts/history-of-powerdns-2013-2020-business/",60,8
"https://berthub.eu/articles/posts/how-tech-loses-out/",70,9
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",79,25
"https://berthub.eu/articles/posts/hoe-werken-de-nieuwe-corona-vaccins/",79,10
"https://berthub.eu/articles/posts/corona-delta-update/",27,39
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",5,1
"https://berthub.eu/articles/report.json,0,5
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",10,1
"https://berthub.eu/articles/posts/how-tech-loses-out/",10,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",16,5
"https://berthub.eu/articles/report.json,15,7
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",62,1
